Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1995,63.1,72.4,65.8,62.9,65.2,72.6,68,69.7,65.6,61.5,67.1,67.7,69.7,67.4,70.2,72.4,70.4,62.4,60.9,65.4,70.5,67.6,65.7,75.1,62.6,68.9,67.2,72.4,69.1,72,65.8,63.5,60.7,66.3,69.6,65.1,63.1,67.4,62.1,65.3,65.6,69.8,66.6,68.9,72.5,70.9,69.1,67.8,54,72.5,69.9
1996,62.4,71.8,65.8,62.5,65.1,72.6,67.4,68.2,63.7,61,66.9,67.3,69.2,67.6,68.7,72.5,69.6,61.5,60.5,66.5,69.9,66.5,65.3,74.7,61.4,68.9,66.2,72.5,68.7,70.6,65.6,63.1,60.4,66.4,69.8,65.2,63,67.5,62.4,64.9,64.8,69.7,66.1,68.7,71.2,71.1,67.6,68.3,54.3,72.8,69.3
1997,63.5,72.3,64.9,62.1,65.7,71.4,67.8,68.4,62.9,61.5,68.3,67.8,69.7,67.9,68.1,72.5,70.2,62.9,60.9,67.2,70.7,68,66,74.2,61.6,70,66.1,72.6,68.9,70.9,67.1,62.6,62.1,67.4,70.3,65.8,63.8,67.7,63.6,66,65.8,70.3,65.7,68.8,71,70.9,67.1,68.9,54.4,72.9,69.2
1998,63.7,73,64.2,61.7,66.2,72.9,66.9,67.5,63.7,61.9,68.7,67.4,69.8,68.3,68.4,71.7,70.2,62.8,61.1,66.1,70.3,68,67,74.5,61.5,70,67.1,72.5,69,70.9,66.5,62.9,62.8,66.4,70.3,66.1,63.6,68.2,63.8,66.4,65,70.7,65.1,68.6,71.5,71.1,66.7,69.8,54.4,73.5,69.7
1999,63.6,72.8,65.7,61.8,66.4,73.2,67.4,67.8,65.2,62.2,69.1,67.5,70.3,68.6,68.4,71.4,70.7,63,61.3,66.5,69.6,68.7,67.4,74.3,61,69.4,68,72.6,69.5,72.5,66.4,62.8,62.7,66.3,69.9,65.9,64.3,68.1,63.9,66.5,65.6,71.2,65.6,68.8,72.2,72,67.4,69.9,55.1,72.8,70.8
2000,63.6,72.5,65.5,61.7,66.7,72.1,67.8,68.2,66.8,62.7,68.9,67.6,69.3,69.5,68,71.1,70.4,63,61.2,68,69.5,68.1,68.4,74.5,62.1,69.4,68.1,72.8,69.7,72.2,66.5,62.4,62.7,66.6,69.7,66.7,64,67.9,63.9,67.1,64.3,71.2,65.1,68.7,71.6,70.3,67.6,69,55.2,72.4,70.7
2001,63.1,72,65.5,61.1,67.3,71.1,67.1,70.3,68.3,63.2,68.9,67.5,69.5,68.6,67.6,71.6,69.6,63.2,61.4,66.6,70.1,67.9,68.2,75.3,61.7,70,67.4,73,70.7,72.5,66,63.3,62.4,67.4,70.1,66.7,63.8,68,64.8,66.5,64.1,71.6,65.2,68.1,72,70.5,68.1,67.9,55.5,72.9,71.3
2002,61.4,71.1,65.7,60.9,66.6,71.5,66.3,68.5,66.6,62.2,67.8,66.4,69.2,67.3,67.4,71.7,69.1,61.7,60.4,65.5,69.4,68,66,74.6,60.5,68.7,65.9,72.2,69.4,70.7,65.9,62.4,62.4,66.6,69.3,66.5,64.2,67,64.7,65.6,61.8,71.4,64.5,67.5,70.8,70.2,67.7,67.1,55.1,71.9,70.4
2003,61.8,72,65.6,61.2,66.1,71.4,67.1,66.7,65.7,61.9,68.1,65.7,68.6,65.9,67.5,71.7,70.2,61.7,60.5,65.9,68.8,68.1,65.2,74.6,60.8,68.3,65.9,73.3,68.2,71.3,66.1,62.7,62.9,66.2,70.1,66.7,63.9,67,64,67.3,62.8,71.9,64.9,67.9,70.7,70.8,67.9,67,54.7,72,70.7
2004,61.9,71.1,65.3,61.2,65.5,72.1,66.9,66.7,66.5,61.6,67.6,65.3,67.9,66,67.2,70.8,70.9,61.9,60.2,65.8,68.3,67.8,65,74.3,61.3,67.8,65.6,73.7,67.1,71,65.7,62.7,62.2,66.2,71.1,66,63.6,66,64,66.7,63.2,72.1,64.2,67.2,70.8,70.8,67.4,67.3,54.3,71.5,70.7
