Notes,State,State Code,Mother's Education,Mother's Education Code,Year,Year Code,Births
NA,Alabama,01,0 -  8 years,19176,1995,1995,2462
NA,Alabama,01,0 -  8 years,19176,1996,1996,2427
NA,Alabama,01,0 -  8 years,19176,1997,1997,2241
NA,Alabama,01,0 -  8 years,19176,1998,1998,2268
NA,Alabama,01,0 -  8 years,19176,1999,1999,2199
NA,Alabama,01,0 -  8 years,19176,2000,2000,2285
NA,Alabama,01,0 -  8 years,19176,2001,2001,2333
NA,Alabama,01,0 -  8 years,19176,2002,2002,2438
NA,Alabama,01,9 - 11 years,19177,1995,1995,11950
NA,Alabama,01,9 - 11 years,19177,1996,1996,11980
NA,Alabama,01,9 - 11 years,19177,1997,1997,12030
NA,Alabama,01,9 - 11 years,19177,1998,1998,12159
NA,Alabama,01,9 - 11 years,19177,1999,1999,11890
NA,Alabama,01,9 - 11 years,19177,2000,2000,12197
NA,Alabama,01,9 - 11 years,19177,2001,2001,11306
NA,Alabama,01,9 - 11 years,19177,2002,2002,10850
NA,Alabama,01,12 years,19178,1995,1995,20924
NA,Alabama,01,12 years,19178,1996,1996,20518
NA,Alabama,01,12 years,19178,1997,1997,20350
NA,Alabama,01,12 years,19178,1998,1998,20520
NA,Alabama,01,12 years,19178,1999,1999,20308
NA,Alabama,01,12 years,19178,2000,2000,20696
NA,Alabama,01,12 years,19178,2001,2001,19708
NA,Alabama,01,12 years,19178,2002,2002,18660
NA,Alabama,01,13 - 15 years,19179,1995,1995,14002
NA,Alabama,01,13 - 15 years,19179,1996,1996,14183
NA,Alabama,01,13 - 15 years,19179,1997,1997,14502
NA,Alabama,01,13 - 15 years,19179,1998,1998,15218
NA,Alabama,01,13 - 15 years,19179,1999,1999,15184
NA,Alabama,01,13 - 15 years,19179,2000,2000,15322
NA,Alabama,01,13 - 15 years,19179,2001,2001,14547
NA,Alabama,01,13 - 15 years,19179,2002,2002,14273
NA,Alabama,01,16 years and over,16+,1995,1995,10687
NA,Alabama,01,16 years and over,16+,1996,1996,11129
NA,Alabama,01,16 years and over,16+,1997,1997,11548
NA,Alabama,01,16 years and over,16+,1998,1998,11731
NA,Alabama,01,16 years and over,16+,1999,1999,12352
NA,Alabama,01,16 years and over,16+,2000,2000,12628
NA,Alabama,01,16 years and over,16+,2001,2001,12431
NA,Alabama,01,16 years and over,16+,2002,2002,12622
NA,Alabama,01,Not stated/Not on certificate,NR,1995,1995,304
NA,Alabama,01,Not stated/Not on certificate,NR,1996,1996,251
NA,Alabama,01,Not stated/Not on certificate,NR,1997,1997,243
NA,Alabama,01,Not stated/Not on certificate,NR,1998,1998,178
NA,Alabama,01,Not stated/Not on certificate,NR,1999,1999,189
NA,Alabama,01,Not stated/Not on certificate,NR,2000,2000,171
NA,Alabama,01,Not stated/Not on certificate,NR,2001,2001,129
NA,Alabama,01,Not stated/Not on certificate,NR,2002,2002,124
NA,Alaska,02,0 -  8 years,19176,1995,1995,167
NA,Alaska,02,0 -  8 years,19176,1996,1996,193
NA,Alaska,02,0 -  8 years,19176,1997,1997,150
NA,Alaska,02,0 -  8 years,19176,1998,1998,145
NA,Alaska,02,0 -  8 years,19176,1999,1999,176
NA,Alaska,02,0 -  8 years,19176,2000,2000,135
NA,Alaska,02,0 -  8 years,19176,2001,2001,188
NA,Alaska,02,0 -  8 years,19176,2002,2002,156
NA,Alaska,02,9 - 11 years,19177,1995,1995,1179
NA,Alaska,02,9 - 11 years,19177,1996,1996,1184
NA,Alaska,02,9 - 11 years,19177,1997,1997,1253
NA,Alaska,02,9 - 11 years,19177,1998,1998,1143
NA,Alaska,02,9 - 11 years,19177,1999,1999,1148
NA,Alaska,02,9 - 11 years,19177,2000,2000,1207
NA,Alaska,02,9 - 11 years,19177,2001,2001,1123
NA,Alaska,02,9 - 11 years,19177,2002,2002,1213
NA,Alaska,02,12 years,19178,1995,1995,4206
NA,Alaska,02,12 years,19178,1996,1996,4247
NA,Alaska,02,12 years,19178,1997,1997,4150
NA,Alaska,02,12 years,19178,1998,1998,4170
NA,Alaska,02,12 years,19178,1999,1999,4212
NA,Alaska,02,12 years,19178,2000,2000,4192
NA,Alaska,02,12 years,19178,2001,2001,4340
NA,Alaska,02,12 years,19178,2002,2002,4120
NA,Alaska,02,13 - 15 years,19179,1995,1995,2599
NA,Alaska,02,13 - 15 years,19179,1996,1996,2514
NA,Alaska,02,13 - 15 years,19179,1997,1997,2632
NA,Alaska,02,13 - 15 years,19179,1998,1998,2533
NA,Alaska,02,13 - 15 years,19179,1999,1999,2586
NA,Alaska,02,13 - 15 years,19179,2000,2000,2648
NA,Alaska,02,13 - 15 years,19179,2001,2001,2596
